epoch,aa_acc,acc,kl_loss,loss,vae_loss,val_aa_acc,val_acc,val_kl_loss,val_loss,val_vae_loss,val_xent_loss,xent_loss
0,0.4144174678717694,0.5856994764550009,30.925317951147107,717.4466737962806,717.4466737962806,0.4289026664591384,0.6005322357703899,23.054657346352762,687.3630526838632,687.3630526838632,664.3083945088002,686.5213568911345
1,0.5655507597370424,0.6930048742501632,32.886381299668464,543.2680880250792,543.2680880250792,0.4738441225441023,0.6321020899147823,24.251981985157933,637.8459918844288,637.8459918844288,613.5940113988416,510.3817070560179
2,0.6022468324156774,0.7189544510495836,33.064960359214005,500.3336399244225,500.3336399244225,0.4913386340799003,0.6438392289753618,22.412426722734825,617.0380392140355,617.0380392140355,594.6256114740481,467.26867951766303
3,0.6211040611025216,0.7322871379230333,33.04003681017005,478.02582892818725,478.02582892818725,0.49850573546585,0.649006510740039,22.84710058453439,612.2563914331896,612.2563914331896,589.4092898314027,444.9857922186368
4,0.6334147594977116,0.7410260665589484,33.07669924860415,463.6056742704087,463.6056742704087,0.5053270128951676,0.6538964145485012,21.918011742076654,602.621801056259,602.621801056259,580.7037895114943,430.52897406094314
5,0.6429328337268553,0.7477333507676055,33.18858836077262,452.70309195255885,452.70309195255885,0.5088160516886876,0.6566228793955398,23.477241077642333,599.4685279583109,599.4685279583109,575.9912871262122,419.51450315613675
6,0.6508332335430643,0.7533438657677692,33.38881807963053,443.6404077148438,443.6404077148438,0.5154096325923656,0.6605901359141558,23.57969221794742,591.9564582912401,591.9564582912401,568.3767632846175,410.25159061155455
7,0.6575488440541254,0.758086144198542,33.57930497100388,436.08617994225546,436.08617994225546,0.5166412511091123,0.6619602070457634,22.179572828884783,591.7137102499776,591.7137102499776,569.5341353493176,402.50687540690103
8,0.663338413203972,0.7621587082268535,33.90823504793471,429.8095299231488,429.8095299231488,0.52187712356962,0.6659019505840609,22.28032243662867,581.9554055400279,581.9554055400279,559.6750832042475,395.90129516601564
9,0.667829095626223,0.7653565680807916,34.0594942452251,424.82792303555254,424.82792303555254,0.5263491166049037,0.6679353945556729,23.86787478129069,581.0710760708513,581.0710760708513,557.2031976809446,390.7684285747141
10,0.6716729339654894,0.7680528599628503,34.23342677793641,420.38883748372393,420.38883748372393,0.5266754993076982,0.6691596545022109,24.9319260257414,581.526069448186,581.526069448186,556.5941427998159,386.15541013855864
11,0.6751058531153029,0.7704976849279542,34.39250993258711,416.5080548891814,416.5080548891814,0.5244129580327834,0.6675706422191927,22.85172302859953,581.6816418877963,581.6816418877963,558.829919082817,382.1155452650872
12,0.6784079011281331,0.772810307274694,34.628311836132106,413.0747955587636,413.0747955587636,0.5318210750475697,0.672351218503097,22.9242338421701,576.7154399301814,576.7154399301814,553.7912091134608,378.4464841980865
13,0.6817410720949587,0.775150032043457,34.70228017392366,409.1829337742018,409.1829337742018,0.5321524167882985,0.6731239168123268,23.6503708959996,574.3367657540858,574.3367657540858,550.6863920365257,374.48065319116563
14,0.6840691817670629,0.77682475010554,34.858749270231826,406.6817907714844,406.6817907714844,0.5294915230794884,0.6703836269762324,24.08515722340551,578.3078000825027,578.3078000825027,554.2226429906385,371.8230413641446
15,0.6867122650492019,0.7786832513325457,34.980736121578495,403.6463087175894,403.6463087175894,0.5327835746880235,0.6733123513473862,24.49398018847937,572.5023798800063,572.5023798800063,548.0084013840248,368.6655720674819
16,0.6888202126820883,0.7801925173013107,35.070408094102056,401.0490883116791,401.0490883116791,0.5333252912965314,0.6732205578650551,24.68744474389087,574.3401834422144,574.3401834422144,549.6527387246318,365.9786814902485
17,0.6909158770243327,0.7816532592151476,35.335560206537664,399.0557195602638,399.0557195602638,0.5330878903125894,0.6730411018448315,22.644501135815148,570.937728987069,570.937728987069,548.2932295875988,363.7201601067142
18,0.6929249181609223,0.7830812201292618,35.45201381849206,396.78289014733355,396.78289014733355,0.5368503295827186,0.6759974803047618,24.14079432432679,568.9928610615347,568.9928610615347,544.8520653735632,361.33087645599807
19,0.6941862067968949,0.7840014307395272,35.561361581553584,395.36067858709805,395.36067858709805,0.5345917408493743,0.6743508817135603,23.313590165938454,572.0166329219423,572.0166329219423,548.7030447422773,359.7993157074417
20,0.6955571745789569,0.784952589912691,35.85285462310349,394.0271791319916,394.0271791319916,0.5388563682293069,0.6772250141220532,25.640382280020876,567.9118112147539,567.9118112147539,542.2714285313398,358.17432464157326
21,0.6976968732778577,0.7864347541505012,35.880282048764435,391.63548580446104,391.63548580446104,0.5412346940616082,0.6793545321486462,24.722706340921338,563.8346317685883,563.8346317685883,539.1119252873564,355.75520410510074
22,0.6998084253159123,0.7879524315267369,35.865479752913764,388.9601853345788,388.9601853345788,0.5387100484864465,0.6770317346200175,24.721180558478697,568.1450462604391,568.1450462604391,543.4238660790454,353.0947049878991
23,0.7012717802628227,0.7890058516073918,36.068616349593455,387.3693371935858,387.3693371935858,0.5395643320576898,0.6779111926583038,23.503543700294934,563.3240779482085,563.3240779482085,539.8205320160964,351.3007199494735
24,0.7024414147501407,0.7898073380580847,36.20269137396329,386.27925568953805,386.27925568953805,0.5409133209579292,0.6786999991570396,25.26538979541296,564.2210014255568,564.2210014255568,538.9556059037131,350.07656441951144
25,0.7039363180727198,0.7908766821156378,36.248450754138005,384.40880779763927,384.40880779763927,0.5403312615964605,0.6779206008746707,24.742597308104067,567.049154978785,567.049154978785,542.3065589641702,348.16035699374436
