epoch,aa_acc,acc,kl_loss,loss,vae_loss,val_aa_acc,val_acc,val_kl_loss,val_loss,val_vae_loss,val_xent_loss,xent_loss
0,0.10219524294499421,0.5329871389664997,12.061174666354669,780.2344466572968,780.2344466572968,0.11672358841945728,0.5382874498764674,0.21661081686615943,753.8804575602213,753.8804575602213,753.6638432820638,768.1732708841398
1,0.11536191881361588,0.5410885918700234,0.4056200492941872,749.6272132831384,749.6272132831384,0.1178195783868432,0.5417260877788067,0.5672296774884065,746.4414250691732,746.4414250691732,745.8741928100586,749.2215947103764
2,0.11732446986832012,0.5423310685552944,0.6612948879846552,746.3594697562371,746.3594697562371,0.12191571413228909,0.541786025216182,0.6462274471918742,747.5110580444336,747.5110580444336,746.8648300170898,745.6981740709168
3,0.11932388695152425,0.5436141401200004,0.8579741918908957,744.5443491224426,744.5443491224426,0.12392169460654259,0.5412786262730758,0.8485956942041715,747.8649841308594,747.8649841308594,747.0163889567058,743.6863760763769
4,0.1204763794142897,0.5443703462241104,1.0449102079670731,743.0632310730317,743.0632310730317,0.12592567410320044,0.5436006744702657,1.1790851136048635,744.7995961507162,744.7995961507162,743.6205062866211,742.0183152678263
5,0.12254398062989856,0.545592958014973,1.2132373140991064,741.2992012487591,741.2992012487591,0.1298771072179079,0.5478794641792775,1.3097734570503234,737.4422307332356,737.4422307332356,736.1324529012044,740.0859654884971
6,0.1269607924501211,0.5478895025852636,1.4286582754791113,738.2862880980771,738.2862880980771,0.1360495102281372,0.5464280543227991,1.3302494128545126,741.781755065918,741.781755065918,740.4515070597331,736.8576282480145
7,0.13154541705194758,0.5502545580844194,1.4810042876894303,734.6902836752201,734.6902836752201,0.14042775512983402,0.5443891597290834,1.4811741888523102,745.6419408162435,745.6419408162435,744.1607625325521,733.2092757251381
8,0.1341879958317754,0.551656498928755,1.533446028252333,732.5773836420386,732.5773836420386,0.13878385468075674,0.5562205478549004,1.5988956063985824,724.7417638142904,724.7417638142904,723.1428624471029,731.0439358705974
9,0.13639172125422494,0.5528165907161671,1.63805603091888,730.5631054620058,730.5631054620058,0.14619332409153382,0.552351500093937,1.4840684990088144,733.0794026692708,733.0794026692708,731.5953374226888,728.9250478164926
10,0.13968212688496098,0.554493610536196,1.7688412080153575,728.2092241318845,728.2092241318845,0.14699198659509422,0.5556774958968163,1.7389033406972885,726.3615849812826,726.3615849812826,724.6226765950521,726.4403811291437
11,0.1424171777637624,0.5561111947284878,1.8093772892793898,725.761227939669,725.761227939669,0.1464802121122678,0.553896435101827,1.6918430745601654,728.7157908121745,728.7157908121745,727.0239496866863,723.9518505117511
12,0.14449001046010804,0.5571071952581406,1.8364443660441025,724.0328035301925,724.0328035301925,0.14993049620340268,0.5567791009942691,1.9294134239355722,725.3431966145833,725.3431966145833,723.4137883504231,722.1963574319914
13,0.14569389171774874,0.5580310899743718,1.9454737276003506,722.549142405473,722.549142405473,0.151738416031003,0.5572947675983111,2.1105262716611226,724.6159749348958,724.6159749348958,722.5054478963216,720.6036724280257
14,0.14758848444203646,0.5588052828502919,1.9428970293445482,721.1473683731332,721.1473683731332,0.15377787848313648,0.5620148186882337,1.7210959951082865,717.4053975423177,717.4053975423177,715.6842966715495,719.204473000205
15,0.14974004390407664,0.5600583814290347,1.9930406100842175,719.5928826938018,719.5928826938018,0.15508142858743668,0.5568287027378876,1.8352804690599442,726.0460393269857,726.0460393269857,724.2107610066731,717.5998423876683
16,0.1509477406205064,0.560745219334713,2.038971879205651,718.5680541992188,718.5680541992188,0.15674754350135725,0.5633091521759828,2.2842582603295645,715.739023844401,715.739023844401,713.4547643025716,716.5290788682127
17,0.1531866958457462,0.5617628031672693,2.1654587990671232,717.2231005252396,717.2231005252396,0.15777757254739602,0.5568943239748478,1.9285345743099849,725.9539596557618,725.9539596557618,724.0254231770833,715.0576429841268
18,0.15512832976589547,0.5629979158797975,2.1659328644446907,715.4177861503474,715.4177861503474,0.16304860971868038,0.567454635600249,1.9339745938777924,708.1991017659506,708.1991017659506,706.2651245117188,713.2518566827089
19,0.15727410895636726,0.5640155012765642,2.2368818017659264,713.7642007901524,713.7642007901524,0.1631946594764789,0.5630068803826968,2.2638620018959044,716.905229695638,716.905229695638,714.6413686116537,711.5273163516218
20,0.15877538709515365,0.564693091406348,2.339861150275278,712.6849247210592,712.6849247210592,0.16552926562726497,0.5621579418579737,2.167284811536471,717.825553894043,717.825553894043,715.6582748413086,710.3450642791242
21,0.16055215292131703,0.565585983062976,2.2574371277298058,711.134484728397,711.134484728397,0.16424504946917295,0.5656244831780592,2.074554925163587,711.5861536661783,711.5861536661783,709.5116017659506,708.8770467853019
22,0.1625112111767682,0.5667169537004186,2.3766572696069326,709.4888271942982,709.4888271942982,0.1697397212808331,0.5659381260474523,2.2162780980269114,712.1826446533203,712.1826446533203,709.9663670857748,707.1121659252525
23,0.1643674118207634,0.5677806148048263,2.4270759406010747,708.0579747995619,708.0579747995619,0.17280331222961345,0.569189711411794,2.2698044300079347,707.2443552652995,707.2443552652995,704.9745580037435,705.6308979013348
24,0.16550720505704536,0.5683972271601798,2.550526503699919,706.9746292704376,706.9746292704376,0.1712612845003605,0.5677935905754566,2.3540019740660987,709.2504623413085,709.2504623413085,706.8964579264323,704.4241012657545
25,0.16720395543463323,0.5691580612685799,2.5830082343428176,706.084702634021,706.084702634021,0.17425040199110906,0.5720005571842194,2.30502177576224,701.8340133666992,701.8340133666992,699.5289855957031,703.5016975192075
26,0.16903044445985588,0.5701847242716268,2.56416060746704,704.5387016001328,704.5387016001328,0.1736458050707976,0.5673311432202657,2.4219055573145547,709.892273457845,709.892273457845,707.4703659057617,701.9745447991303
27,0.17068595153109803,0.5711385913975331,2.6264816631269716,702.8497542913448,702.8497542913448,0.1725804112230738,0.5690393539766471,2.324903654058774,705.7848927815755,705.7848927815755,703.4599904378255,700.2232752004381
28,0.17182428138690758,0.5715119869175537,2.6445114029705197,702.351075061777,702.351075061777,0.17701374255120755,0.5665509276092052,2.1837753375371296,711.4235295613606,711.4235295613606,709.2397511800131,699.7065625269769
29,0.1725020961866853,0.5721313414982011,2.740885401628294,701.3859467058551,701.3859467058551,0.17890515811741353,0.5745814728240172,2.651719260215759,698.9358276367187,698.9358276367187,696.2841054280599,698.6450658977361
30,0.17353388422184227,0.5724728739722658,2.816999366599552,701.085888267222,701.085888267222,0.17527425587177276,0.566484788308541,2.7390335867802302,711.9129801432292,711.9129801432292,709.1739491780598,698.2688861657243
31,0.17488255119208473,0.573388889102646,2.8072153356193836,699.6947918465124,699.6947918465124,0.17581464033573865,0.5713257466753324,2.517415112257004,703.1642389933269,703.1642389933269,700.646832784017,696.8875766142955
32,0.17572624691201177,0.5738720758843817,2.8443697921478948,698.6081611253938,698.6081611253938,0.1803432653347651,0.5717597765227159,2.4690763503313065,703.4883453369141,703.4883453369141,701.0192693074545,695.7637905732045
33,0.1774861207900785,0.5745849496587205,2.8508423128839357,697.6505902537983,697.6505902537983,0.1814404221251607,0.5756298579275608,2.6728119224309923,696.312343343099,696.312343343099,693.6395258585612,694.7997491320194
34,0.17831267836344175,0.5751210619072887,2.9560566221811495,696.8013278687198,696.8013278687198,0.18086605854332446,0.5715086604158084,2.482772584756215,703.063816833496,703.063816833496,700.5810440063476,693.8452717480739
35,0.178767668813961,0.5754214889930757,2.9625237570941776,696.2101979123953,696.2101979123953,0.1829163101191322,0.5767190573116143,2.695881035923958,694.4286679585774,694.4286679585774,691.7327893575033,693.2476705477383
36,0.1800866630031259,0.5760064164577927,2.996358423931164,695.220982082641,695.220982082641,0.18301738624771435,0.5737232354780039,2.961449331045151,700.1039484659831,700.1039484659831,697.142497253418,692.224622694827
37,0.1810529126646769,0.5765334506884464,3.0638433503841167,694.5051714649517,694.5051714649517,0.1805841127410531,0.5732933414479097,2.712249916791916,700.4410283406576,700.4410283406576,697.7287826538086,691.4413286915142
38,0.18181578481559596,0.5770044765584377,3.149006925893752,693.8752385766467,693.8752385766467,0.18434651127705973,0.5714187547564507,3.085646249850591,704.5328750610352,704.5328750610352,701.4472295125325,690.7262335508568
39,0.1830901107364926,0.5776892591741204,3.1799857389202435,692.7043655985626,692.7043655985626,0.18656874721248945,0.5755378857254982,2.876229763031006,697.8958307902018,697.8958307902018,695.0195994059245,689.5243821960786
40,0.18435593832345956,0.5783656514481287,3.191903345163356,692.080407158446,692.080407158446,0.18643336556851864,0.5793108269572258,2.941512433687846,691.1283757527669,691.1283757527669,688.1868708292643,688.888500993423
41,0.18491735990617156,0.5785067861910025,3.1963485268598104,691.4396245966959,691.4396245966959,0.18707318020363647,0.5730964799722036,3.1105530579884846,701.0091267903646,701.0091267903646,697.8985763549805,688.2432750048558
42,0.18534110758186045,0.5788663074127218,3.158706527388557,690.7390010264697,690.7390010264697,0.1867542512714863,0.5801375423868497,2.85549991329511,688.9373875935872,688.9373875935872,686.0818870544433,687.5802949515496
